property_type,area,bathrooms,bedrooms,parking_spots,neighborhood,rent,more_than_1_floor,furnished,barbecue_grill,kitchen,pool,beach_distance,latitude,longitude
apartment,40,1,1,1,Jaqueira,2200,0,0,0,0,1,4.021590362738209,-8.0381464,-34.90347599747196
apartment,81,2,3,2,Boa Viagem,4000,0,0,0,0,1,0.6015507550005008,-8.1144867,-34.8979226
apartment,10,1,4,3,Apipucos,9800,0,0,1,0,1,7.608137749792725,-8.0213282,-34.9335054
apartment,59,2,2,1,Boa Viagem,2500,0,0,1,0,1,1.011422761305214,-8.1127905,-34.9012292
apartment,98,2,3,1,San Martin,1300,0,0,0,0,0,5.518435267626366,-8.0725535,-34.9283108
apartment,63,2,3,1,Imbiribeira,2200,0,0,1,0,1,1.7652480185840782,-8.1101578,-34.9075502
apartment,45,1,1,1,Santana,2000,0,1,0,0,1,5.1472288685105125,-8.0384454,-34.9137086
apartment,38,1,1,1,Boa Vista,1000,0,0,0,0,0,2.639743370762537,-8.0623944,-34.8926612445037
apartment,42,1,1,1,Boa Viagem,1750,0,1,0,0,1,0.5491777495191917,-8.1128764,-34.8959122
apartment,75,2,2,1,Madalena,2300,0,1,1,0,1,4.544836623351266,-8.0487288,-34.9073732
apartment,36,1,1,1,Pina,2300,0,1,0,0,1,1.1981077866653391,-8.0963033,-34.8946884
apartment,135,5,4,2,Boa Viagem,4250,0,0,1,0,1,0.464793866572879,-8.1201608,-34.8996503
apartment,150,5,4,2,Boa Viagem,7700,0,0,0,0,1,0.030947768686880064,-8.1364165,-34.9016825
apartment,166,3,3,2,Boa Viagem,3740,0,0,0,0,1,0.3245298643694608,-8.1182483,-34.8969711
apartment,201,4,4,3,Pina,9500,0,0,0,0,1,0.29446552914341706,-8.092948,-34.8834319
apartment,80,2,3,1,Boa Viagem,2840,0,0,1,0,1,0.3795777353639336,-8.1389837,-34.9058445
apartment,160,3,3,2,Boa Viagem,7000,0,0,0,0,0,0.7269148980153953,-8.1235027,-34.9033955
apartment,64,1,2,2,Boa Viagem,3000,0,0,1,0,1,0.1297550488938444,-8.119691,-34.8959229
apartment,62,2,2,1,Ilha do Retiro,2600,0,1,0,0,0,3.647375524348297,-8.064505950000001,-34.90573053201628
apartment,90,2,3,2,Boa Viagem,3262,0,0,0,0,0,0.276317647912934,-8.1145178,-34.8936552
apartment,76,2,3,2,Aflitos,2637,0,0,0,0,1,3.2713597418438507,-8.0392007,-34.8967064
apartment,44,1,1,1,Ilha do Leite,1729,0,0,1,0,1,2.6150444788511558,-8.064662850000001,-34.89455960160785
apartment,64,2,3,1,Imbiribeira,1550,0,0,0,1,0,2.3910158463902293,-8.109859,-34.9139389
apartment,180,3,4,2,Boa Viagem,4200,0,0,1,0,0,0.21962730140948114,-8.1111476,-34.8908586
apartment,35,1,1,1,Boa Viagem,1700,0,1,0,0,1,0.45174512257449073,-8.1109725,-34.8939476
apartment,108,3,3,1,Boa Viagem,2600,0,0,0,0,0,0.7269148980153953,-8.1235027,-34.9033955
apartment,55,1,2,1,Imbiribeira,2200,0,0,0,0,1,2.805473754936084,-8.098177,-34.9115983
apartment,80,2,3,1,Boa Viagem,2700,0,0,0,0,1,0.3795777353639336,-8.1389837,-34.9058445
apartment,63,2,3,1,Boa Viagem,2500,0,0,0,0,1,0.6901998000292302,-8.1299573,-34.9056488
apartment,59,2,2,1,Boa Viagem,2930,0,0,0,0,1,0.7269148980153953,-8.1235027,-34.9033955
apartment,88,3,3,2,Madalena,2600,0,0,0,0,0,4.556213693803973,-8.0537581,-34.9083686
apartment,430,1,4,0,Casa Forte,14323,0,0,1,0,1,5.852997867183819,-8.0364699,-34.9200193
apartment,33,1,1,1,Paissandu,1800,0,0,0,0,1,3.25811236839663,-8.0610083,-34.8990999
apartment,32,1,1,1,Pina,2870,0,1,0,0,1,1.1214343619273508,-8.0876561,-34.8913671
apartment,118,1,3,1,Boa Viagem,2000,0,0,0,0,0,0.19033824383877318,-8.1257853,-34.8990713
apartment,81,3,3,2,Boa Viagem,4500,0,1,0,0,1,0.19621716521765944,-8.1161778,-34.894659
apartment,82,2,3,1,Boa Viagem,2100,0,0,0,0,0,0.630532220694912,-8.133342,-34.9065158
apartment,148,4,3,2,Boa Viagem,4500,0,0,0,0,1,0.14383664315039016,-8.145053449999999,-34.906360488261114
apartment,54,1,2,1,Pina,2800,0,1,0,0,1,0.3015519650497975,-8.0926572,-34.8833845
apartment,98,2,3,2,Boa Viagem,3350,0,0,0,0,0,0.4337576632342845,-8.1195613,-34.899039
apartment,40,1,1,1,Madalena,2700,0,1,0,0,1,4.162236796256467,-8.0545997,-34.9043633
apartment,125,2,3,1,Derby,2500,0,0,0,0,0,3.794895898756152,-8.0552817,-34.9003724
apartment,68,1,2,1,Madalena,2420,0,0,0,1,1,4.378993611190047,-8.0519292,-34.9051408
apartment,77,3,3,1,Boa Viagem,2929,0,0,1,0,1,0.9337367710555117,-8.1091823,-34.8979525
apartment,84,2,3,1,Boa Viagem,3200,0,1,0,0,1,0.1701189672118366,-8.1358365,-34.9028138
apartment,90,2,3,2,Boa Viagem,2970,0,0,1,0,1,0.276317647912934,-8.1145178,-34.8936552
apartment,232,6,4,4,Caxangá,5500,0,0,0,0,1,9.363336238197723,-8.0315718,-34.9515654
apartment,148,2,3,1,Aflitos,4000,0,0,0,0,0,3.5176368789990495,-8.040634149999999,-34.89894442079398
apartment,120,3,3,2,Boa Viagem,6563,0,0,1,0,1,0.7269148980153953,-8.1235027,-34.9033955
apartment,70,2,3,1,Boa Viagem,2100,0,0,1,0,1,0.7269148980153953,-8.1235027,-34.9033955
apartment,240,1,4,4,Pina,18000,0,1,0,0,1,0.24754671665100655,-8.0925358,-34.8826991
